"id";"FECHA";"DESDE";"HASTA";"LOCALIDAD";"GRUPO";"DIRECCION";"FARMACIA";"Cod_FARMACIA";"TELEFONO"
"248";"03/12/2023";"9";"9";"Falces";"Peralta";"C/ Corazón de Jesús, 5";"Diaz/Eza Casas/Gascuñana, Mercedes/Victoria";"F00458";"948 734840"
"249";"03/12/2023";"9";"9";"Irurita";"Elizondo";"C/ Mayor, 4B";"Goñi Itoiz, Concepcion";"F00279";"948 452347"
"250";"03/12/2023";"9";"9";"Irurtzun";"Etxarri-Aranatz, Irurtzun, Leitza, Ultzama";"C/ Amaya, 4";"Gastearena/Martirena Arraiza/Miqueo, Miguel/Jorge";"F00387";"948 506149"
"251";"03/12/2023";"9";"9";"Ituren";"Doneztebe/Santesteban";"C/ Consejo, 12";"Ruiz-Lopetedi Rodriguez, Jose Joaquin";"F00272";"948 450968"
"252";"03/12/2023";"9";"9";"Lodosa";"Lodosa";"C/ Los Huertos de Abajo, 3";"Yoldi Perez, Jesusa";"F00438";"948 694635"
"253";"03/12/2023";"9";"9";"Mendigorria";"Puente la Reina";"C/ Bernardino Ayala, 8";"Inchaurraga Casadamon, Laura";"F00248";"948 340312"
"254";"03/12/2023";"9";"9";"Milagro";"Valtierra-Cadreita - Castejón";"C/ Arrabal, 28bajo";"Hernandez Ramiro, Carlos";"F00023";"948 861066"
"255";"03/12/2023";"9";"9";"Miranda de Arga";"Artajona";"C/ La Dehesa, 9";"Elizalde Sesma, Alejandra";"F00675";"948 926094"
"256";"03/12/2023";"9";"9";"Olite / Erriberri";"Carcastillo - Olite";"Pl Del Fosal, 1";"Pellejero Balduz, Maria Jose";"F00433";"948 741830"
"257";"03/12/2023";"9";"9";"San Adrián";"San Adrián";"C/ Santa Gema, 30";"Moreno Sola, Beatriz";"F00533";"948 670111"
"258";"03/12/2023";"9";"9";"Sangüesa / Zangoza";"Sangüesa";"C/ Mayor, 30";"Ruiz Sanchez, Tomas";"F00101";"948 870114"
"259";"03/12/2023";"9";"9";"Sansol";"Los Arcos - Viana";"C/ Barrionuevo, 2";"Elias Calvo, Ignacio Javier";"F00817";"948648328"
"260";"03/12/2023";"9";"9";"Tafalla";"Tafalla";"C/ Camino Miranda, 8";"Tesan Urchaga, Jose Luis";"F00463";"948 755094"
"261";"04/12/2023";"9";"22";"Aribe";"Aoiz - Auritz/Burguete";"C/ Santa María, 24";"De Carlos Iriarte, Maria Carmen";"F00273";"948 764209"
"262";"04/12/2023";"10";"21";"Artica / Artika";"Pamplona y comarca";"C/ Madres de la Plaza de Mayo, 32. Nuevo Artica";"Aguado Menendez, Carmen";"F00739";"948 307609"
"263";"04/12/2023";"9";"21";"Estella-Lizarra";"Estella";"C/ Arieta, 11";"Nagore Solano, Marta";"F00503";"948 555381"
"264";"04/12/2023";"9";"22";"Larraintzar";"Etxarri-Aranatz, Irurtzun, Leitza, Ultzama";"C/ San Pedro, 36";"Aquerreta Ferraz, Jose Antonio";"F00143";"948 305108"
"265";"04/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Sancho Ramírez, 3. Entre Gasolinera Pío XII - Planetario";"Almagro Fernandez-Blanco , Inmaculada";"F00229";"948 271069"
"266";"04/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Abejeras, 47";"Funes Barbarin, Gabriel Maria";"F00612";"948 234049"
"267";"04/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Yanguas y Miranda, 17";"Marfil Garcia, Alberto";"F00205";"948 245030"
"268";"04/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"C/ Cuenca de Pamplona, 53. Chantrea";"Martin Sedano, Maria Asuncion";"F00457";"948 315509"
"269";"04/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Ctra. San Sebastián, 1. Hipermercado Eroski";"Valdemoros Erro, Laura";"F00011";"948 303099"
