"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"Especialidad";"FECHA DE INSCRIPCION"
"176";"ur000759";"Domino´s Pizza";"Restaurantes";"Sin definir";"Pío XII 20";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"18/09/1996 0:00:00"
"177";"ur000760";"Domino´s Pizza";"Restaurantes";"Sin definir";"Sangüesa 2";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"18/09/1996 0:00:00"
"178";"UR001075";"Don Carlos";"Restaurantes";"Lujo/ 4 Tenedores";"Dorraburu 1";"HUARTE";"HUARTE / UHARTE";"Cuenca de Pamplona";"Casera o regional";"02/02/2015 0:00:00"
"179";"ur000418";"Don Manolo";"Restaurantes";"Sin definir";"Sancho el Fuerte 77";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"15/07/1985 0:00:00"
"180";"UR000802";"Don Menú";"Restaurantes";"Tercera/1 tenedor";"de la Inmaculada 70";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"24/12/1997 0:00:00"
"181";"UR000048";"Don Pelayo";"Restaurantes";"Sin definir";"Monjardín 16";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"28/03/2001 0:00:00"
"182";"UR000640";"Donamariako Benta";"Restaurantes";"Tercera/1 tenedor";"Venta 4";"DONAMARIA";"DONAMARIA";"Pirineos";"Casera o regional";"05/03/1991 0:00:00"
"183";"UR000927";"Dos Hermanas";"Restaurantes";"Tercera/1 tenedor";"Aralar 8";"IRURTZUN";"IRURTZUN";"Pirineos";"Casera o regional";"07/09/2007 0:00:00"
"184";"UR001137";"Ducal";"Restaurantes";"Segunda/2 Tenedores";"Carlos III 39";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"08/06/2021 0:00:00"
"185";"UR000254";"Ducay";"Restaurantes";"Sin definir";"Rúa de Medios 1";"OLITE";"OLITE / ERRIBERRI";"Zona Media";;"23/12/2004 0:00:00"
"186";"UR000186";"Dulanz";"Restaurantes";"Sin definir";"Legarzia 17";"ABÁRZUZA";"ABÁRZUZA / ABARTZUZA";"Zona Media";;"26/07/2004 0:00:00"
"187";"UR000568";"Duque";"Restaurantes";"Sin definir";"Ciriaco Asín 0 S/N";"GALLIPIENZO NUEVO";"GALLIPIENZO / GALIPENTZU";"Zona Media";"Casera o regional";"21/08/1989 0:00:00"
"188";"UR001029";"Durban";"Restaurantes";"Sin definir";"Baja Navarra 3 bajo";"AYEGUI";"AYEGUI / AIEGI";"Zona Media";"Casera o regional";"04/10/2012 0:00:00"
"189";"ur000729";"Echegoyen";"Restaurantes";"Sin definir";"Mayor 0 S/N";"MURCHANTE";"MURCHANTE";"La Ribera";"Casera o regional";"28/12/1995 0:00:00"
"190";"ur000905";"Eguzki";"Restaurantes";"Sin definir";"Eguzki 1";"MUTILVA";"ARANGUREN";"Cuenca de Pamplona";"Casera o regional";"15/09/2006 0:00:00"
"191";"UR000933";"El Molino de Urdániz";"Restaurantes";"Sin definir";"San Miguel, s/n 0 ";"URDAITZ/URDÁNIZ";"ESTERIBAR";"Pirineos";"De autor";"22/11/2007 0:00:00"
"192";"UR001097";"El Castillo";"Restaurantes";"Segunda/2 Tenedores";"El Pinar 46";"LARRAGA";"LARRAGA";"Zona Media";"Asador, Casera o regional";"24/07/2015 0:00:00"
"193";"UR001002";"El Chupinazo";"Restaurantes";"Tercera/1 tenedor";"Estafeta 85 bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"04/05/2011 0:00:00"
"194";"ur000854";"El Cortijo";"Restaurantes";"Segunda/2 Tenedores";"La Paz 0 S/N";"PERALTA";"PERALTA / AZKOIEN";"La Ribera";"Asador";"20/12/1999 0:00:00"
"195";"UR000015";"El Crucero";"Restaurantes";"Sin definir";"Mayor 1";"CORELLA";"CORELLA";"La Ribera";;"30/11/2000 0:00:00"
"196";"UR000877";"El Embrujo";"Restaurantes";"Primera/3 tenedores";"Padre Calatayud, 16-18 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"De autor";"07/12/2005 0:00:00"
"197";"UR000408";"El Figón";"Restaurantes";"Segunda/2 Tenedores";"Pintor Asenjo 12";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"11/01/1985 0:00:00"
