"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"PLAZAS";"FECHA DE INSCRIPCION"
"1477";"UAT00595";"La Jasa";"Apartamento Turístico";"Segunda/2 Llaves";"Val 39 1º dcha";"ARGUEDAS";"ARGUEDAS  ";"La Ribera";"2";"27/07/2017 0:00:00"
"1478";"UCR01054";"La Madriguera de Tomaso";"Casa rural habitaciones";"CRH 3 Estrellas";"Odieta 10 ";"ERAUL";"VALLE DE YERRI / DEIERRI  ";"Zona Media";"10";"14/04/2015 0:00:00"
"1479";"UVT00869";"La Manguita";"Vivienda Turística";"Tercera/1 Llave";"Virgen del Yugo  32 ";"ARGUEDAS";"ARGUEDAS  ";"La Ribera";"10";"05/02/2019 0:00:00"
"1480";"UAT00984";"La Mejana";"Apartamento Turístico";"Segunda/2 Llaves";"Gaztambide-Carrera 11 4ºD";"TUDELA";"TUDELA  ";"La Ribera";"4";"13/12/2019 0:00:00"
"1481";"UAT00668";"La Merced";"Apartamento Turístico";"Tercera/1 Llave";"La Merced 27 Bajo";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"3";"25/10/2017 0:00:00"
"1482";"UCR01126";"La Mimosa";"Casa rural vivienda";"CRV 2 Estrellas";"Barrio Bajo  36 ";"CARCASTILLO";"CARCASTILLO ";"La Ribera";"6";"18/04/2018 0:00:00"
"1483";"ucr00303";"La Morena I";"Casa rural vivienda";"CRV 1 Estrella";"San Roman 40 ";"LARRAYA";"CIZUR ";"Cuenca de Pamplona";"5";"16/08/1995 0:00:00"
"1484";"UCR00529";"La Morena II";"Casa rural vivienda";"CRV 2 Estrellas";"San Román 8 ";"LARRAYA";"CIZUR ";"Cuenca de Pamplona";"10";"19/09/2001 0:00:00"
"1485";"UAT00653";"La Noria";"Apartamento Turístico";"Segunda/2 Llaves";"San Fermin 1 ";"ARGUEDAS";"ARGUEDAS  ";"La Ribera";"4";"25/09/2017 0:00:00"
"1486";"UAT01413";"La Nuez de Yamaguchi";"Apartamento Turístico";"Primera/3 Llaves";"Yamaguchi 8 1º dcha";"PAMPLONA";"PAMPLONA / IRUÑA  ";"Cuenca de Pamplona";"2";"31/03/2023 0:00:00"
"1487";"UCR00882";"La Parada";"Casa rural vivienda";"CRV 2 Estrellas";"Sancho Garcés 7 ";"VALTIERRA";"VALTIERRA ";"La Ribera";"7";"31/12/2008 0:00:00"
